"Variants of the population projection
Länder",2022-12-31,2023-12-31,2024-12-31,2025-12-31,2026-12-31,2027-12-31,2028-12-31,2029-12-31,2030-12-31,2031-12-31,2032-12-31,2033-12-31,2034-12-31,2035-12-31,2036-12-31,2037-12-31,2038-12-31,2039-12-31,2040-12-31,2041-12-31,2042-12-31,2043-12-31,2044-12-31,2045-12-31,2046-12-31,2047-12-31,2048-12-31,2049-12-31,2050-12-31,2051-12-31,2052-12-31,2053-12-31,2054-12-31,2055-12-31,2056-12-31,2057-12-31,2058-12-31,2059-12-31,2060-12-31,2061-12-31,2062-12-31,2063-12-31,2064-12-31,2065-12-31,2066-12-31,2067-12-31,2068-12-31,2069-12-31,2070-12-31
"BEV-VARIANTE-01 Mod. birth rate a. life exp.,low mig.bal. (G2L2W1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mecklenburg-Vorpommern,1625.5,1628.6,1628.9,1628.7,1628.2,1627,1625.4,1623.4,1620.9,1618.1,1614.9,1611.4,1607.8,1604.2,1600.5,1596.7,1592.7,1588.6,1584.3,1579.7,1575,1570,1564.7,1559.3,1553.7,1547.9,1542,1536,1529.9,1524,1518.2,1512.6,1507.2,1502.2,1497.5,1493.1,1489.1,1485.5,1482.2,1479.4,1476.9,1474.7,1472.8,1471.1,1469.7,1468.3,1467.1,1466,1464.9
Niedersachsen,8168.4,8225.9,8262.4,8297.3,8329.9,8359.6,8386.7,8411.2,8433,8452.2,8468.8,8482.7,8496.4,8509.8,8522.9,8535.5,8547.6,8559.2,8570.1,8580.3,8589.9,8599,8607.6,8615.7,8623.6,8631.1,8638.5,8645.7,8652.8,8659.9,8667,8674.2,8681.7,8689.6,8698.1,8707.4,8717.6,8728.8,8741.2,8754.8,8769.6,8785.7,8802.8,8820.9,8839.8,8859.3,8879.2,8899.5,8919.8
Nordrhein-Westfalen,18115.4,18183.3,18222.5,18260.9,18297.3,18330.2,18359.9,18386.3,18409.3,18428.7,18443.9,18454.8,18465.1,18474.5,18483.1,18490.6,18496.9,18501.9,18505.3,18507.3,18507.8,18507,18505,18501.9,18497.9,18493.1,18487.7,18481.8,18475.4,18468.7,18462,18455.3,18449.1,18443.6,18439,18435.8,18434.2,18434.5,18436.8,18441.2,18447.8,18456.5,18467,18479.2,18492.7,18507.2,18522.2,18537.5,18552.8
Rheinland-Pfalz,4170.4,4197,4214.4,4231.2,4247,4261.4,4274.6,4286.4,4296.9,4306,4313.7,4319.8,4325.4,4330.6,4335.3,4339.4,4342.9,4345.8,4348.1,4349.9,4351.2,4352.1,4352.6,4352.9,4353,4353,4352.8,4352.7,4352.5,4352.4,4352.4,4352.7,4353.2,4354,4355.3,4357.1,4359.3,4362.2,4365.7,4369.8,4374.5,4379.7,4385.4,4391.4,4397.8,4404.4,4411.1,4417.8,4424.4
Saarland,991.6,992.7,992,991.3,990.6,989.6,988.5,987.3,985.8,984.2,982.3,980.2,978.1,976.1,973.9,971.8,969.7,967.4,965.2,962.9,960.5,958.1,955.7,953.4,951,948.7,946.4,944.2,942.1,940.1,938.2,936.4,934.8,933.3,932.1,931,930,929.3,928.8,928.5,928.4,928.4,928.6,928.9,929.3,929.8,930.3,930.8,931.4
Sachsen,4072.9,4074.6,4069.7,4064.7,4059.1,4052.7,4045.5,4037.7,4029.6,4021,4012.2,4003,3994.4,3986.4,3978.8,3971.6,3964.8,3958.3,3951.9,3945.6,3939.5,3933.4,3927.3,3921.3,3915.2,3909.2,3903.1,3896.9,3890.8,3884.7,3878.7,3873,3867.4,3862.1,3857.2,3852.7,3848.7,3845.3,3842.4,3840,3838.2,3836.9,3836.1,3835.7,3835.5,3835.7,3835.9,3836.3,3836.8
Sachsen-Anhalt,2176,2168.9,2158.5,2148.2,2137.6,2126.8,2115.6,2104.2,2092.8,2081.2,2069.6,2057.9,2046.6,2035.7,2025.1,2014.8,2004.8,1994.9,1985.1,1975.5,1966,1956.7,1947.4,1938.3,1929.3,1920.4,1911.7,1903.1,1894.7,1886.6,1878.7,1871.2,1863.9,1857,1850.6,1844.6,1839,1833.9,1829.4,1825.3,1821.6,1818.4,1815.7,1813.2,1811.1,1809.2,1807.6,1806.1,1804.8
Schleswig-Holstein,2961.7,2979.7,2992.2,3004.2,3015.4,3025.6,3034.8,3043.1,3050.5,3057,3062.4,3066.9,3071,3074.7,3078.2,3081.3,3084,3086.3,3088.3,3089.8,3091,3091.7,3091.9,3091.8,3091.2,3090.1,3088.6,3086.6,3084.2,3081.6,3078.9,3076.2,3073.4,3070.7,3068.2,3065.9,3063.9,3062.4,3061.2,3060.5,3060.3,3060.5,3061.2,3062.4,3063.8,3065.6,3067.6,3069.8,3072
Thüringen,2123.2,2120,2112.6,2105,2097.1,2088.8,2080.1,2071.1,2061.9,2052.6,2043,2033.2,2023.8,2014.6,2005.7,1997.1,1988.6,1980.3,1972.2,1964.1,1956.2,1948.4,1940.8,1933.3,1925.9,1918.8,1911.8,1905,1898.5,1892.1,1886.1,1880.2,1874.7,1869.6,1864.8,1860.5,1856.5,1853,1850,1847.3,1845.1,1843.2,1841.7,1840.5,1839.5,1838.6,1838,1837.5,1837
BEV-VARIANTE-04 Relatively old population (G1L3W1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
